k, kappa, fval, exitlfag
12, 24.29230769, 11.94607011, -2 
29, 24.35769231, 15.60638448, 2 
27, 24.35000000, 10.39602679, -2 
4, 24.26153846, 24.25904024, 2 
10, 24.28461538, 16.76482678, 2 
28, 24.35384615, 19.64540591, 2 
24, 24.33846154, 17.46907116, 2 
8, 24.27692308, 17.55824874, -2 
16, 24.30769231, 21.45468129, 2 
18, 24.31538462, 16.62260748, -2 
23, 24.33461538, 13.00924151, 2 
14, 24.30000000, 30.61039818, 2 
21, 24.32692308, 18.26056216, 2 
20, 24.32307692, 21.31193321, 2 
6, 24.26923077, 14.67180831, -2 
25, 24.34230769, 22.16023833, 2 
22, 24.33076923, 7.47854025, 2 
30, 24.36153846, 10.13819556, 2 
2, 24.25384615, 22.13003054, -2 
26, 24.34615385, 19.91825219, -2 
11, 24.28846154, 9.13880343, 2 
31, 24.36538462, 19.77678156, 2 
32, 24.36923077, 13.98055944, 2 
9, 24.28076923, 11.32328798, 2 
3, 24.25769231, 23.73085557, 2 
34, 24.37692308, 13.05769977, 2 
17, 24.31153846, 22.33053794, 2 
7, 24.27307692, 31.72421403, -2 
15, 24.30384615, 19.53274380, -2 
33, 24.37307692, 5.96071626, 2 
35, 24.38076923, 15.30583169, 2 
13, 24.29615385, 13.87150392, 2 
36, 24.38461538, 17.12200165, 2 
19, 24.31923077, 21.18099298, 2 
5, 24.26538462, 22.01496074, -2 
37, 24.38846154, 19.33657124, 2 
38, 24.39230769, 17.79961542, 2 
39, 24.39615385, 24.17172715, 2 
1, 24.25000000, 8.80281179, -2 
40, 24.40000000, 21.23842797, 2 
