k, kappa, fval, exitlfag, tau1, tau2, tau3, tau4, tau5, tau6 
10, 100.0000, 25.6406, 1, -499.5081, -861.8829,801.6126, -51.8487, 723.7735, -687.0560 
8, 88.8889, 34.0687, 1, 299.6355, -894.8129,-416.2845, 752.5980, -351.3764, 629.2173 
7, 83.3333, 33.2578, 1, 638.8170, -2.8126,222.2451, -214.9314, 146.3263, 399.1808 
1, 50.0000, 35.8505, 1, 165.8720, -815.4844,-196.4628, 233.7078, -329.3654, -83.0506 
2, 55.5556, 30.0119, 1, 847.4442, -601.9128,-877.3834, 953.1426, 381.6513, 786.0778 
6, 77.7778, 34.0313, 1, 634.5091, -41.2354,26.0319, -521.1172, 167.7326, -791.5140 
5, 72.2222, 33.2578, 1, 285.5850, 698.7240,957.2925, 770.8348, 865.9209, 271.1514 
4, 66.6667, 36.2077, 1, 738.2801, -600.3332,-106.3147, -13.8473, 408.9490, -588.0029 
3, 61.1111, 35.4563, 1, 532.1967, -567.8081,-21.7737, -39.1797, -440.8811, -137.3148 
9, 94.4444, 33.2578, 1, 787.7256, -670.8354,685.1603, 20.8530, 107.1208, -41.5126 
 time:     182.95
